,enter_time,leave_time
flow_19_0,1.0,96.0
flow_19_1,41.0,100.0
flow_11_0,69.0,106.0
flow_11_1,72.0,110.0
flow_19_2,81.0,136.0
flow_10_0,94.0,119.0
flow_10_1,97.0,122.0
flow_10_2,109.0,146.0
flow_11_2,120.0,147.0
flow_19_3,121.0,176.0
flow_11_3,122.0,149.0
flow_10_3,139.0,164.0
flow_11_4,140.0,165.0
flow_10_4,142.0,167.0
flow_11_5,142.0,168.0
flow_11_6,145.0,170.0
flow_11_7,147.0,186.0
flow_10_5,160.0,187.0
flow_19_4,161.0,226.0
flow_11_8,170.0,195.0
flow_10_6,177.0,216.0
flow_11_9,187.0,216.0
flow_11_10,190.0,219.0
flow_11_11,192.0,236.0
flow_19_5,201.0,230.0
flow_10_7,210.0,237.0
flow_11_12,210.0,240.0
flow_10_8,212.0,239.0
flow_10_9,215.0,242.0
flow_10_10,217.0,244.0
flow_18_0,219.0,256.0
flow_18_1,221.0,260.0
flow_11_13,229.0,266.0
flow_11_14,232.0,270.0
flow_11_15,238.0,272.0
flow_10_11,240.0,266.0
flow_19_6,241.0,296.0
flow_10_12,244.0,269.0
flow_10_13,247.0,272.0
flow_10_14,253.0,278.0
flow_11_16,259.0,284.0
flow_11_17,262.0,287.0
flow_11_18,280.0,336.0
flow_10_15,280.0,336.0
flow_19_7,281.0,309.0
flow_10_16,286.0,340.0
flow_10_17,289.0,342.0
flow_18_2,290.0,315.0
flow_18_3,292.0,318.0
flow_11_19,297.0,340.0
flow_11_20,300.0,342.0
flow_11_21,320.0,345.0
flow_10_18,320.0,345.0
flow_19_8,321.0,436.0
flow_10_19,322.0,348.0
flow_10_20,339.0,376.0
flow_11_22,339.0,376.0
flow_11_23,342.0,380.0
flow_10_21,342.0,379.0
flow_10_22,359.0,406.0
flow_11_24,360.0,406.0
flow_18_4,360.0,436.0
flow_19_9,361.0,440.0
flow_10_23,362.0,410.0
flow_11_25,362.0,410.0
flow_10_24,394.0,426.0
flow_10_25,397.0,430.0
flow_10_26,399.0,446.0
flow_11_26,400.0,427.0
flow_19_10,401.0,456.0
flow_11_27,402.0,429.0
flow_11_28,420.0,447.0
flow_11_29,422.0,449.0
flow_10_27,437.0,466.0
flow_11_30,440.0,467.0
flow_10_28,440.0,469.0
flow_19_11,441.0,476.0
flow_11_31,442.0,469.0
flow_18_5,450.0,477.0
flow_10_29,460.0,487.0
flow_10_30,462.0,489.0
flow_10_31,480.0,536.0
flow_18_6,480.0,507.0
flow_19_12,481.0,509.0
flow_18_7,482.0,509.0
flow_10_32,482.0,540.0
flow_11_32,500.0,536.0
flow_11_33,502.0,540.0
flow_10_33,504.0,542.0
flow_11_34,505.0,542.0
flow_11_35,507.0,545.0
flow_10_34,507.0,545.0
flow_10_35,509.0,547.0
flow_11_36,510.0,547.0
flow_11_37,512.0,550.0
flow_19_13,521.0,586.0
flow_10_36,529.0,554.0
flow_11_38,550.0,575.0
flow_10_37,550.0,575.0
flow_10_38,552.0,578.0
flow_11_39,552.0,578.0
flow_11_40,555.0,580.0
flow_11_41,557.0,596.0
flow_19_14,561.0,590.0
flow_10_39,577.0,602.0
flow_10_40,580.0,605.0
flow_18_8,600.0,636.0
flow_11_42,600.0,627.0
flow_19_15,601.0,636.0
flow_18_9,602.0,640.0
flow_11_43,602.0,629.0
flow_11_44,617.0,646.0
flow_10_41,620.0,647.0
flow_11_45,620.0,649.0
flow_11_46,622.0,666.0
flow_10_42,622.0,649.0
flow_10_43,640.0,667.0
flow_11_47,640.0,670.0
flow_18_10,640.0,686.0
flow_19_16,641.0,686.0
