,enter_time,leave_time
flow_5_0,58.0,206.0
flow_4_0,90.0,206.0
flow_4_1,130.0,210.0
flow_4_2,132.0,212.0
flow_4_3,135.0,215.0
flow_5_1,140.0,210.0
flow_5_2,142.0,212.0
flow_18_0,150.0,186.0
flow_18_1,152.0,190.0
flow_19_0,159.0,186.0
flow_19_1,161.0,189.0
flow_5_3,190.0,215.0
flow_5_4,192.0,218.0
flow_4_4,200.0,236.0
flow_4_5,202.0,240.0
flow_4_6,205.0,242.0
flow_5_5,210.0,237.0
flow_5_6,212.0,239.0
flow_4_7,217.0,245.0
flow_4_8,220.0,247.0
flow_4_9,224.0,250.0
flow_4_10,227.0,276.0
flow_4_11,229.0,279.0
flow_4_12,232.0,316.0
flow_18_2,240.0,336.0
flow_18_3,242.0,340.0
flow_19_2,249.0,336.0
flow_19_3,251.0,340.0
flow_5_7,260.0,316.0
flow_5_8,262.0,319.0
flow_19_4,270.0,356.0
flow_18_4,280.0,356.0
flow_5_9,290.0,346.0
flow_5_10,292.0,349.0
flow_5_11,295.0,386.0
flow_5_12,297.0,390.0
flow_5_13,300.0,476.0
flow_5_14,302.0,480.0
flow_5_15,305.0,506.0
flow_5_16,307.0,510.0
flow_5_17,309.0,512.0
flow_18_5,309.0,360.0
flow_5_18,312.0,515.0
flow_18_6,312.0,376.0
flow_5_19,350.0,517.0
flow_5_20,353.0,520.0
flow_4_13,360.0,387.0
flow_4_14,362.0,389.0
flow_4_15,365.0,476.0
flow_4_16,367.0,480.0
flow_4_17,370.0,506.0
flow_4_18,372.0,510.0
flow_5_21,380.0,522.0
flow_18_7,390.0,417.0
flow_4_19,400.0,512.0
flow_4_20,407.0,515.0
flow_4_21,410.0,517.0
flow_4_22,412.0,520.0
flow_19_5,430.0,457.0
flow_19_6,432.0,459.0
flow_18_8,439.0,464.0
flow_18_9,442.0,467.0
flow_4_23,450.0,522.0
flow_19_7,460.0,536.0
flow_19_8,462.0,539.0
flow_5_22,500.0,525.0
flow_5_23,502.0,528.0
flow_5_24,505.0,530.0
flow_5_25,507.0,546.0
flow_5_26,510.0,550.0
flow_5_27,512.0,646.0
flow_5_28,540.0,650.0
flow_5_29,542.0,686.0
flow_19_9,590.0,617.0
flow_19_10,592.0,619.0
flow_18_10,600.0,656.0
flow_18_11,602.0,660.0
flow_18_12,605.0,796.0
flow_4_24,630.0,686.0
flow_4_25,632.0,690.0
flow_5_30,640.0,690.0
flow_5_31,642.0,726.0
flow_4_26,660.0,726.0
flow_5_32,660.0,730.0
flow_5_33,662.0,732.0
flow_4_27,662.0,729.0
flow_4_28,665.0,732.0
flow_5_34,665.0,735.0
flow_5_35,667.0,737.0
flow_4_29,667.0,735.0
flow_5_36,670.0,740.0
flow_5_37,672.0,756.0
flow_5_38,675.0,760.0
flow_5_39,677.0,776.0
flow_5_40,679.0,780.0
flow_19_11,680.0,796.0
flow_5_41,682.0,782.0
flow_19_12,682.0,800.0
flow_19_13,685.0,876.0
flow_19_14,687.0,879.0
flow_4_30,707.0,737.0
flow_4_31,710.0,740.0
flow_4_32,727.0,756.0
flow_4_33,730.0,759.0
flow_5_42,740.0,785.0
flow_5_43,743.0,787.0
flow_18_13,760.0,800.0
flow_18_14,762.0,876.0
flow_18_15,765.0,880.0
flow_18_16,767.0,896.0
flow_18_17,770.0,899.0
flow_5_44,790.0,826.0
flow_5_45,793.0,830.0
flow_5_46,795.0,846.0
flow_5_47,797.0,849.0
flow_4_34,799.0,826.0
flow_5_48,800.0,852.0
flow_5_49,802.0,855.0
flow_4_35,802.0,829.0
